,ConfirmedData[groups_Confirmed == i, "Province.State"]
1,Albania
2,Angola
3,Armenia
4,Belarus
5,Bolivia
6,Bosnia and Herzegovina
7,Burma
8,Ontario
9,Quebec
10,Hong Kong
11,Colombia
12,Congo (Kinshasa)
13,Costa Rica
14,Egypt
15,El Salvador
16,Finland
17,French Guiana
18,Indonesia
19,Iran
20,Israel
21,Jamaica
22,Japan
23,Korea, South
24,Lebanon
25,Libya
26,Malaysia
27,Mali
28,Malta
29,Mauritania
30,Mexico
31,Montenegro
32,Morocco
33,Netherlands
34,Nigeria
35,Norway
36,Panama
37,Paraguay
38,Portugal
39,Russia
40,Senegal
41,Sierra Leone
42,South Africa
43,Suriname
44,Syria
45,Togo
46,US
47,Ukraine
48,United Arab Emirates
49,United Kingdom
50,West Bank and Gaza
