,ConfirmedData[groups_Confirmed == i, "Province.State"]
1,Antigua and Barbuda
2,Barbados
3,Belize
4,Grand Princess
5,Northwest Territories
6,Repatriated Travellers
7,Hubei
8,Macau
9,Qinghai
10,Shandong
11,Tibet
12,Greenland
13,Diamond Princess
14,Dominica
15,Equatorial Guinea
16,Martinique
17,Saint Barthelemy
18,Saint Pierre and Miquelon
19,Wallis and Futuna
20,Grenada
21,Holy See
22,Kazakhstan
23,Kyrgyzstan
24,Laos
25,Lesotho
26,MS Zaandam
27,Marshall Islands
28,Saint Kitts and Nevis
29,Samoa
30,Sao Tome and Principe
31,Seychelles
32,Solomon Islands
33,Tanzania
34,Timor-Leste
35,Turkey
36,Anguilla
37,British Virgin Islands
38,Falkland Islands (Malvinas)
39,Montserrat
40,Vanuatu
